iter	RMSE
0	0.1958039244
1	0.1777400784
2	0.1607054676
3	0.145514749
4	0.1319284703
5	0.1202700062
6	0.1091880983
7	0.09848210144
8	0.08921273982
9	0.08100404289
10	0.07310030592
11	0.06608435547
12	0.06016222703
13	0.0544172363
14	0.04923583647
15	0.04455329268
16	0.04059869242
17	0.03700315323
18	0.03372602581
19	0.03059494441
20	0.02782424526
21	0.02537460987
22	0.02314409147
23	0.02122799405
24	0.01943824423
25	0.01789998941
26	0.01655595722
27	0.01526187557
28	0.01408827266
29	0.01305490112
30	0.01207603797
31	0.0112009676
32	0.01043213951
33	0.009739465866
34	0.009119743513
35	0.008556541414
36	0.008046024649
37	0.007605292324
38	0.007169474773
39	0.006820815457
40	0.006514044223
41	0.006277153094
42	0.005974999872
43	0.005778350393
44	0.005621050599
45	0.005374413174
46	0.005171256597
47	0.004985746098
48	0.004807015261
49	0.004675296682
50	0.004544910082
51	0.004444905822
52	0.004321951861
53	0.004228454085
54	0.004117989073
55	0.00404405138
56	0.003948828566
57	0.003855103904
58	0.003791184919
59	0.003742713373
60	0.003670776729
61	0.003606577739
62	0.003560088267
63	0.003491939905
64	0.003424170157
65	0.003367401875
66	0.00334192217
67	0.003292277925
68	0.003277553591
69	0.003268013518
70	0.003227843073
71	0.003183612109
72	0.003138880184
73	0.003091541493
74	0.003049013837
75	0.003008827564
76	0.002968263414
77	0.002960258578
78	0.002934496656
79	0.002911099464
80	0.002867162303
81	0.002836723877
82	0.002803942148
83	0.002791891203
84	0.002771383315
85	0.002750313196
86	0.002735383681
87	0.002716541433
88	0.00270999028
89	0.002675742791
90	0.00266616151
91	0.002656111649
92	0.002634323516
93	0.002620376357
94	0.002586672218
95	0.002566356376
96	0.002535561359
97	0.002525817124
98	0.002500560172
99	0.002493250366
